time_s,channel_MHz,Modulation,ConstellationSize,PhyRate_Mbps,signal_dBm,noise_dBm,SNR_dB,BER,RandSeed,RunDateTime
5.19750000e-02,5210,OFDM,2,6.00000000e+00,-7.71025398e+01,-9.39659852e+01,1.68634454e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.19750000e-02,5210,OFDM,2,6.00000000e+00,-7.25021532e+01,-9.39659852e+01,2.14638319e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.19750010e-02,5210,OFDM,2,6.00000000e+00,-7.37612626e+01,-9.39659852e+01,2.02047226e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.19750010e-02,5210,OFDM,2,6.00000000e+00,-7.96134168e+01,-9.39659852e+01,1.43525684e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.19750010e-02,5210,OFDM,2,6.00000000e+00,-8.16019455e+01,-9.39659852e+01,1.23640397e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.19750010e-02,5210,OFDM,2,6.00000000e+00,-7.69325462e+01,-9.39659852e+01,1.70334389e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.19750010e-02,5210,OFDM,2,6.00000000e+00,-8.12198571e+01,-9.39659852e+01,1.27461281e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.19750010e-02,5210,OFDM,2,6.00000000e+00,-7.69133805e+01,-9.39659852e+01,1.70526047e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.19750010e-02,5210,OFDM,2,6.00000000e+00,-7.66225987e+01,-9.39659852e+01,1.73433865e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100000e-02,5210,OFDM,2,6.00000000e+00,-7.64208921e+01,-9.39659852e+01,1.75450930e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100000e-02,5210,OFDM,2,6.00000000e+00,-7.80458346e+01,-9.39659852e+01,1.59201506e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100000e-02,5210,OFDM,2,6.00000000e+00,-7.75827690e+01,-9.39659852e+01,1.63832162e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100000e-02,5210,OFDM,2,6.00000000e+00,-8.05395528e+01,-9.39659852e+01,1.34264324e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100000e-02,5210,OFDM,2,6.00000000e+00,-7.93914012e+01,-9.39659852e+01,1.45745840e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100000e-02,5210,OFDM,2,6.00000000e+00,-7.75952144e+01,-9.39659852e+01,1.63707708e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100000e-02,5210,OFDM,2,6.00000000e+00,-8.01640610e+01,-9.39659852e+01,1.38019242e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100000e-02,5210,OFDM,2,6.00000000e+00,-7.86898105e+01,-9.39659852e+01,1.52761747e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100010e-02,5210,OFDM,2,6.00000000e+00,-7.25168227e+01,-9.39659852e+01,2.14491624e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100010e-02,5210,OFDM,2,6.00000000e+00,-7.52631880e+01,-9.39659852e+01,1.87027971e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100010e-02,5210,OFDM,2,6.00000000e+00,-7.41882116e+01,-9.39659852e+01,1.97777736e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100010e-02,5210,OFDM,2,6.00000000e+00,-7.51312513e+01,-9.39659852e+01,1.88347339e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100010e-02,5210,OFDM,2,6.00000000e+00,-7.75966247e+01,-9.39659852e+01,1.63693605e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100010e-02,5210,OFDM,2,6.00000000e+00,-8.08088535e+01,-9.39659852e+01,1.31571317e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100010e-02,5210,OFDM,2,6.00000000e+00,-7.90901660e+01,-9.39659852e+01,1.48758192e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100010e-02,5210,OFDM,2,6.00000000e+00,-7.43196075e+01,-9.39659852e+01,1.96463777e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100010e-02,5210,OFDM,2,6.00000000e+00,-8.19131502e+01,-9.39659852e+01,1.20528349e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100010e-02,5210,OFDM,2,6.00000000e+00,-7.91474649e+01,-9.39659852e+01,1.48185203e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100010e-02,5210,OFDM,2,6.00000000e+00,-7.93642142e+01,-9.39659852e+01,1.46017709e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100010e-02,5210,OFDM,2,6.00000000e+00,-7.53979530e+01,-9.39659852e+01,1.85680322e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100010e-02,5210,OFDM,2,6.00000000e+00,-7.85530278e+01,-9.39659852e+01,1.54129574e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
5.66100010e-02,5210,OFDM,2,6.00000000e+00,-7.42651218e+01,-9.39659852e+01,1.97008634e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20419000e-01,5210,OFDM,2,6.00000000e+00,-7.20582911e+01,-7.67413352e+01,4.68304408e+00,7.00883795e-13,-1.21543540e+02,12345,09-Dec-2025_16-49
1.20419001e-01,5210,OFDM,2,6.00000000e+00,-7.30264832e+01,-7.77167347e+01,4.69025145e+00,6.70463685e-13,-1.21736247e+02,12345,09-Dec-2025_16-49
1.20419002e-01,5210,OFDM,2,6.00000000e+00,-7.77706738e+01,-8.99782302e+01,1.22075564e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20428002e-01,5210,OFDM,2,6.00000000e+00,-7.54848731e+01,-7.91369335e+01,3.65206038e+00,2.03765200e-10,-9.69086999e+01,12345,09-Dec-2025_16-49
1.20428002e-01,5210,OFDM,2,6.00000000e+00,-7.86087638e+01,-8.11867240e+01,2.57796018e+00,2.29574730e-08,-7.63907592e+01,12345,09-Dec-2025_16-49
1.20428002e-01,5210,OFDM,2,6.00000000e+00,-7.34084749e+01,-8.21852543e+01,8.77677940e+00,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20428003e-01,5210,OFDM,2,6.00000000e+00,-7.55634706e+01,-7.81342604e+01,2.57078974e+00,2.36108899e-08,-7.62688764e+01,12345,09-Dec-2025_16-49
1.20428004e-01,5210,OFDM,2,6.00000000e+00,-7.52104523e+01,-8.20249642e+01,6.81451196e+00,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20621003e-01,5210,OFDM,2,6.00000000e+00,-7.35427545e+01,-7.41111533e+01,5.68398809e-01,1.29507419e-05,-4.88770535e+01,12345,09-Dec-2025_16-49
1.20621005e-01,5210,OFDM,2,6.00000000e+00,-7.65552650e+01,-7.94459049e+01,2.89063994e+00,6.47181325e-09,-8.18897402e+01,12345,09-Dec-2025_16-49
1.20621005e-01,5210,OFDM,2,6.00000000e+00,-7.48319888e+01,-7.95161461e+01,4.68415732e+00,6.96109836e-13,-1.21573222e+02,12345,09-Dec-2025_16-49
1.20690005e-01,5210,OFDM,2,6.00000000e+00,-7.51811791e+01,-8.17322869e+01,6.55110782e+00,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20693002e-01,5210,OFDM,2,6.00000000e+00,-7.48553038e+01,-9.39659852e+01,1.91106814e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20693002e-01,5210,OFDM,2,6.00000000e+00,-7.39585865e+01,-9.39659852e+01,2.00073986e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20859008e-01,5210,OFDM,2,6.00000000e+00,-7.52230827e+01,-7.97563869e+01,4.53330421e+00,1.72983848e-12,-1.17619944e+02,12345,09-Dec-2025_16-49
1.20859009e-01,5210,OFDM,2,6.00000000e+00,-7.44669786e+01,-7.48455377e+01,3.78559098e-01,1.98673777e-05,-4.70185945e+01,12345,09-Dec-2025_16-49
1.20859009e-01,5210,OFDM,2,6.00000000e+00,-7.41423035e+01,-7.48595779e+01,7.17274411e-01,9.02043922e-06,-5.04477232e+01,12345,09-Dec-2025_16-49
1.20859010e-01,5210,OFDM,2,6.00000000e+00,-7.23027427e+01,-7.79592975e+01,5.65655478e+00,8.88178420e-16,-1.50514998e+02,12345,09-Dec-2025_16-49
1.20859010e-01,5210,OFDM,2,6.00000000e+00,-7.12696163e+01,-7.20021078e+01,7.32491514e-01,8.68286702e-06,-5.06133685e+01,12345,09-Dec-2025_16-49
1.20868007e-01,5210,OFDM,2,6.00000000e+00,-7.95315995e+01,-8.26687398e+01,3.13714021e+00,2.24439731e-09,-8.64890026e+01,12345,09-Dec-2025_16-49
1.20892005e-01,5210,OFDM,2,6.00000000e+00,-7.27096925e+01,-9.39659852e+01,2.12562927e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20892006e-01,5210,OFDM,2,6.00000000e+00,-7.28064748e+01,-9.39659852e+01,2.11595104e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20931002e-01,5210,OFDM,2,6.00000000e+00,-8.18802899e+01,-9.39659852e+01,1.20856953e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.20931002e-01,5210,OFDM,2,6.00000000e+00,-7.86948114e+01,-9.39659852e+01,1.52711738e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
