time_s,channel_MHz,signal_dBm,noise_dBm,SNR_dB,RandSeed,RunDateTime
0.051975,5210,-77.102540,-93.965985,16.863445,12345,09-Dec-2025_16-49
0.051975,5210,-72.502153,-93.965985,21.463832,12345,09-Dec-2025_16-49
0.051975,5210,-73.761263,-93.965985,20.204723,12345,09-Dec-2025_16-49
0.051975,5210,-79.613417,-93.965985,14.352568,12345,09-Dec-2025_16-49
0.051975,5210,-81.601945,-93.965985,12.364040,12345,09-Dec-2025_16-49
0.051975,5210,-76.932546,-93.965985,17.033439,12345,09-Dec-2025_16-49
0.051975,5210,-81.219857,-93.965985,12.746128,12345,09-Dec-2025_16-49
0.051975,5210,-76.913380,-93.965985,17.052605,12345,09-Dec-2025_16-49
0.051975,5210,-76.622599,-93.965985,17.343387,12345,09-Dec-2025_16-49
0.056610,5210,-76.420892,-93.965985,17.545093,12345,09-Dec-2025_16-49
0.056610,5210,-78.045835,-93.965985,15.920151,12345,09-Dec-2025_16-49
0.056610,5210,-77.582769,-93.965985,16.383216,12345,09-Dec-2025_16-49
0.056610,5210,-80.539553,-93.965985,13.426432,12345,09-Dec-2025_16-49
0.056610,5210,-79.391401,-93.965985,14.574584,12345,09-Dec-2025_16-49
0.056610,5210,-77.595214,-93.965985,16.370771,12345,09-Dec-2025_16-49
0.056610,5210,-80.164061,-93.965985,13.801924,12345,09-Dec-2025_16-49
0.056610,5210,-78.689810,-93.965985,15.276175,12345,09-Dec-2025_16-49
0.056610,5210,-72.516823,-93.965985,21.449162,12345,09-Dec-2025_16-49
0.056610,5210,-75.263188,-93.965985,18.702797,12345,09-Dec-2025_16-49
0.056610,5210,-74.188212,-93.965985,19.777774,12345,09-Dec-2025_16-49
0.056610,5210,-75.131251,-93.965985,18.834734,12345,09-Dec-2025_16-49
0.056610,5210,-77.596625,-93.965985,16.369360,12345,09-Dec-2025_16-49
0.056610,5210,-80.808853,-93.965985,13.157132,12345,09-Dec-2025_16-49
0.056610,5210,-79.090166,-93.965985,14.875819,12345,09-Dec-2025_16-49
0.056610,5210,-74.319608,-93.965985,19.646378,12345,09-Dec-2025_16-49
0.056610,5210,-81.913150,-93.965985,12.052835,12345,09-Dec-2025_16-49
0.056610,5210,-79.147465,-93.965985,14.818520,12345,09-Dec-2025_16-49
0.056610,5210,-79.364214,-93.965985,14.601771,12345,09-Dec-2025_16-49
0.056610,5210,-75.397953,-93.965985,18.568032,12345,09-Dec-2025_16-49
0.056610,5210,-78.553028,-93.965985,15.412957,12345,09-Dec-2025_16-49
0.056610,5210,-74.265122,-93.965985,19.700863,12345,09-Dec-2025_16-49
0.120419,5210,-72.058291,-76.741335,4.683044,12345,09-Dec-2025_16-49
