time_s,channel_MHz,signal_dBm,noise_dBm,SNR_dB,BER,AvgSNR(dB),AvgBER,RandSeed,RunDateTime
0.088729,5210.000000,-78.045835,-93.965985,15.920151,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.088729,5210.000000,-77.582769,-93.965985,16.383216,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.088729,5210.000000,-80.539553,-93.965985,13.426432,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.088729,5210.000000,-79.090166,-93.965985,14.875819,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.088729,5210.000000,-74.319608,-93.965985,19.646378,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.088729,5210.000000,-81.913150,-93.965985,12.052835,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.088729,5210.000000,-79.391401,-93.965985,14.574584,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120426,5210.000000,-76.729945,-83.999871,7.269926,0.000545,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120426,5210.000000,-74.275648,-85.967122,11.691474,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120426,5210.000000,-72.494401,-79.151651,6.657250,0.001169,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120426,5210.000000,-76.718766,-93.965985,17.247220,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120426,5210.000000,-73.862648,-93.965985,20.103337,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120426,5210.000000,-78.505318,-93.965985,15.460667,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120486,5210.000000,-76.994653,-93.965985,16.971332,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120486,5210.000000,-76.152157,-93.965985,17.813828,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120486,5210.000000,-79.906169,-93.965985,14.059817,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120486,5210.000000,-74.577702,-93.965985,19.388283,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120486,5210.000000,-75.875873,-93.965985,18.090112,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120486,5210.000000,-79.461495,-93.965985,14.504490,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120486,5210.000000,-75.893407,-93.965985,18.072578,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120744,5210.000000,-73.728052,-93.965985,20.237933,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120744,5210.000000,-73.998475,-93.965985,19.967510,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120744,5210.000000,-77.008324,-93.965985,16.957661,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120744,5210.000000,-76.621224,-93.965985,17.344761,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120744,5210.000000,-78.228621,-93.965985,15.737364,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120744,5210.000000,-78.195620,-93.965985,15.770365,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120744,5210.000000,-81.602338,-93.965985,12.363647,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120804,5210.000000,-78.690855,-93.965985,15.275130,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.120804,5210.000000,-79.255710,-93.965985,14.710275,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
