FlowID,NetworkType,Source,Destination,Throughput(Mbps),Latency_avg(ms),Jitter_avg(ms),PacketLoss(%),RandSeed,RunDateTime
1,MainBSS,10.1.3.1,10.1.3.31,0,0,0,100,12345,24-Oct-2025_01-44
2,MainBSS,10.1.3.2,10.1.3.31,0,0,0,100,12345,24-Oct-2025_01-44
3,MainBSS,10.1.3.3,10.1.3.31,0,0,0,100,12345,24-Oct-2025_01-44
4,MainBSS,10.1.3.4,10.1.3.31,0,0,0,100,12345,24-Oct-2025_01-44
5,MainBSS,10.1.3.5,10.1.3.31,0.361474,25.3562,33.8456,90.5357,12345,24-Oct-2025_01-44
6,MainBSS,10.1.3.6,10.1.3.31,0.0963661,6.87062,6.37089,95.3214,12345,24-Oct-2025_01-44
7,MainBSS,10.1.3.7,10.1.3.31,0,0,0,100,12345,24-Oct-2025_01-44
8,MainBSS,10.1.3.8,10.1.3.31,0.849361,29.7099,5.32874,93.3214,12345,24-Oct-2025_01-44
9,MainBSS,10.1.3.9,10.1.3.31,1.26367,16.7478,8.35676,99.6071,12345,24-Oct-2025_01-44
10,MainBSS,10.1.3.10,10.1.3.31,0.0117378,6.59213,6.38261,98.6786,12345,24-Oct-2025_01-44
11,MainBSS,10.1.3.11,10.1.3.31,0,0,0,100,12345,24-Oct-2025_01-44
12,MainBSS,10.1.3.12,10.1.3.31,0,0,0,100,12345,24-Oct-2025_01-44
13,MainBSS,10.1.3.13,10.1.3.31,0.0645599,3.72085,3.58535,92.5,12345,24-Oct-2025_01-44
14,MainBSS,10.1.3.14,10.1.3.31,0.863472,1.972,3.06443,98.5,12345,24-Oct-2025_01-44
15,MainBSS,10.1.3.15,10.1.3.31,0.0965546,64.5521,8.12009,90.6429,12345,24-Oct-2025_01-44
16,MainBSS,10.1.3.16,10.1.3.31,0,0,0,100,12345,24-Oct-2025_01-44
17,MainBSS,10.1.3.17,10.1.3.31,0.807576,44.1317,7.81943,86.8214,12345,24-Oct-2025_01-44
18,MainBSS,10.1.3.18,10.1.3.31,0.861928,5.23895,4.74402,93.2143,12345,24-Oct-2025_01-44
19,MainBSS,10.1.3.19,10.1.3.31,0,0,0,100,12345,24-Oct-2025_01-44
20,MainBSS,10.1.3.20,10.1.3.31,0.923094,16.0474,5.57047,94.9643,12345,24-Oct-2025_01-44
21,MainBSS,10.1.3.21,10.1.3.31,0,0,0,100,12345,24-Oct-2025_01-44
22,MainBSS,10.1.3.22,10.1.3.31,0,0,0,100,12345,24-Oct-2025_01-44
23,MainBSS,10.1.3.23,10.1.3.31,0,0,0,100,12345,24-Oct-2025_01-44
24,MainBSS,10.1.3.24,10.1.3.31,0.878865,83.2031,11.7003,97.2857,12345,24-Oct-2025_01-44
25,MainBSS,10.1.3.25,10.1.3.31,0,0,0,100,12345,24-Oct-2025_01-44
26,MainBSS,10.1.3.26,10.1.3.31,0,0,0,100,12345,24-Oct-2025_01-44
27,MainBSS,10.1.3.27,10.1.3.31,2.24745,11.1427,4.89474,99.75,12345,24-Oct-2025_01-44
28,MainBSS,10.1.3.28,10.1.3.31,0,0,0,100,12345,24-Oct-2025_01-44
29,MainBSS,10.1.3.29,10.1.3.31,0,0,0,100,12345,24-Oct-2025_01-44
30,MainBSS,10.1.3.30,10.1.3.31,0,0,0,100,12345,24-Oct-2025_01-44
31,InterfBSS,10.1.4.1,10.1.4.11,0.829934,70.4087,7.22533,93.3929,12345,24-Oct-2025_01-44
32,InterfBSS,10.1.4.2,10.1.4.11,0,0,0,100,12345,24-Oct-2025_01-44
33,InterfBSS,10.1.4.3,10.1.4.11,0.784866,85.2602,9.36049,70,12345,24-Oct-2025_01-44
34,InterfBSS,10.1.4.4,10.1.4.11,0.619416,193.695,19.8216,96,12345,24-Oct-2025_01-44
35,InterfBSS,10.1.4.5,10.1.4.11,0,0,0,100,12345,24-Oct-2025_01-44
36,InterfBSS,10.1.4.6,10.1.4.11,1.02193,3.99448,3.42273,99.25,12345,24-Oct-2025_01-44
37,InterfBSS,10.1.4.7,10.1.4.11,0,0,0,100,12345,24-Oct-2025_01-44
38,InterfBSS,10.1.4.8,10.1.4.11,0.824483,33.5863,5.31728,79.3571,12345,24-Oct-2025_01-44
39,InterfBSS,10.1.4.9,10.1.4.11,0,0,0,100,12345,24-Oct-2025_01-44
40,InterfBSS,10.1.4.10,10.1.4.11,0,0,0,100,12345,24-Oct-2025_01-44
