time_s,channel_MHz,Modulation,ConstellationSize,PhyRate_Mbps,signal_dBm,noise_dBm,SNR_dB,BER,RandSeed,RunDateTime
0.051975,5210,OFDM,2,6.000000,-77.102540,-93.965985,16.863445,0.000000,12345,24-Oct-2025_09-34
0.051975,5210,OFDM,2,6.000000,-72.502153,-93.965985,21.463832,0.000000,12345,24-Oct-2025_09-34
0.051975,5210,OFDM,2,6.000000,-73.761263,-93.965985,20.204723,0.000000,12345,24-Oct-2025_09-34
0.051975,5210,OFDM,2,6.000000,-79.613417,-93.965985,14.352568,0.000000,12345,24-Oct-2025_09-34
0.051975,5210,OFDM,2,6.000000,-81.601945,-93.965985,12.364040,0.000000,12345,24-Oct-2025_09-34
0.051975,5210,OFDM,2,6.000000,-76.932546,-93.965985,17.033439,0.000000,12345,24-Oct-2025_09-34
0.051975,5210,OFDM,2,6.000000,-81.219857,-93.965985,12.746128,0.000000,12345,24-Oct-2025_09-34
0.051975,5210,OFDM,2,6.000000,-76.913380,-93.965985,17.052605,0.000000,12345,24-Oct-2025_09-34
0.051975,5210,OFDM,2,6.000000,-76.622599,-93.965985,17.343387,0.000000,12345,24-Oct-2025_09-34
0.056610,5210,OFDM,2,6.000000,-76.420892,-93.965985,17.545093,0.000000,12345,24-Oct-2025_09-34
0.056610,5210,OFDM,2,6.000000,-78.045835,-93.965985,15.920151,0.000000,12345,24-Oct-2025_09-34
0.056610,5210,OFDM,2,6.000000,-77.582769,-93.965985,16.383216,0.000000,12345,24-Oct-2025_09-34
0.056610,5210,OFDM,2,6.000000,-80.539553,-93.965985,13.426432,0.000000,12345,24-Oct-2025_09-34
0.056610,5210,OFDM,2,6.000000,-79.391401,-93.965985,14.574584,0.000000,12345,24-Oct-2025_09-34
0.056610,5210,OFDM,2,6.000000,-77.595214,-93.965985,16.370771,0.000000,12345,24-Oct-2025_09-34
0.056610,5210,OFDM,2,6.000000,-80.164061,-93.965985,13.801924,0.000000,12345,24-Oct-2025_09-34
0.056610,5210,OFDM,2,6.000000,-78.689810,-93.965985,15.276175,0.000000,12345,24-Oct-2025_09-34
