FlowID,Source,Destination,Throughput(Mbps),Latency_avg(ms),Jitter_avg(ms),PacketLoss(%),Duration_s,RandSeed,RunDateTime
1,10.1.3.1,10.1.3.31,0,0,0,100,0,12345,26-Oct-2025_12-50
2,10.1.3.2,10.1.3.31,0,0,0,100,0,12345,26-Oct-2025_12-50
3,10.1.3.3,10.1.3.31,0,0,0,100,0,12345,26-Oct-2025_12-50
4,10.1.3.4,10.1.3.31,0,0,0,100,0,12345,26-Oct-2025_12-50
5,10.1.3.5,10.1.3.31,0.361474,25.3562,33.8456,90.5357,6.16984,12345,26-Oct-2025_12-50
6,10.1.3.6,10.1.3.31,0.0963661,6.87062,6.37089,95.3214,11.4407,12345,26-Oct-2025_12-50
7,10.1.3.7,10.1.3.31,0,0,0,100,0,12345,26-Oct-2025_12-50
8,10.1.3.8,10.1.3.31,0.849361,29.7099,5.32874,93.3214,1.85291,12345,26-Oct-2025_12-50
9,10.1.3.9,10.1.3.31,1.26367,16.7478,8.35676,99.6071,0.0732597,12345,26-Oct-2025_12-50
10,10.1.3.10,10.1.3.31,0.0117378,6.59213,6.38261,98.6786,26.5291,12345,26-Oct-2025_12-50
11,10.1.3.11,10.1.3.31,0,0,0,100,0,12345,26-Oct-2025_12-50
12,10.1.3.12,10.1.3.31,0,0,0,100,0,12345,26-Oct-2025_12-50
13,10.1.3.13,10.1.3.31,0.0645599,3.72085,3.58535,92.5,27.3755,12345,26-Oct-2025_12-50
14,10.1.3.14,10.1.3.31,0.863472,1.972,3.06443,98.5,0.409361,12345,26-Oct-2025_12-50
15,10.1.3.15,10.1.3.31,0.0965546,64.5521,8.12009,90.6429,22.8367,12345,26-Oct-2025_12-50
16,10.1.3.16,10.1.3.31,0,0,0,100,0,12345,26-Oct-2025_12-50
17,10.1.3.17,10.1.3.31,0.807576,44.1317,7.81943,86.8214,3.84546,12345,26-Oct-2025_12-50
18,10.1.3.18,10.1.3.31,0.861928,5.23895,4.74402,93.2143,1.85519,12345,26-Oct-2025_12-50
19,10.1.3.19,10.1.3.31,0,0,0,100,0,12345,26-Oct-2025_12-50
20,10.1.3.20,10.1.3.31,0.923094,16.0474,5.57047,94.9643,1.28552,12345,26-Oct-2025_12-50
21,10.1.3.21,10.1.3.31,0,0,0,100,0,12345,26-Oct-2025_12-50
22,10.1.3.22,10.1.3.31,0,0,0,100,0,12345,26-Oct-2025_12-50
23,10.1.3.23,10.1.3.31,0,0,0,100,0,12345,26-Oct-2025_12-50
24,10.1.3.24,10.1.3.31,0.878865,83.2031,11.7003,97.2857,0.727775,12345,26-Oct-2025_12-50
25,10.1.3.25,10.1.3.31,0,0,0,100,0,12345,26-Oct-2025_12-50
26,10.1.3.26,10.1.3.31,0,0,0,100,0,12345,26-Oct-2025_12-50
27,10.1.3.27,10.1.3.31,2.24745,11.1427,4.89474,99.75,0.0262129,12345,26-Oct-2025_12-50
28,10.1.3.28,10.1.3.31,0,0,0,100,0,12345,26-Oct-2025_12-50
29,10.1.3.29,10.1.3.31,0,0,0,100,0,12345,26-Oct-2025_12-50
30,10.1.3.30,10.1.3.31,0,0,0,100,0,12345,26-Oct-2025_12-50
31,10.1.4.1,10.1.4.11,0.829934,70.4087,7.22533,93.3929,1.87601,12345,26-Oct-2025_12-50
32,10.1.4.2,10.1.4.11,0,0,0,100,0,12345,26-Oct-2025_12-50
33,10.1.4.3,10.1.4.11,0.784866,85.2602,9.36049,70,9.0072,12345,26-Oct-2025_12-50
34,10.1.4.4,10.1.4.11,0.619416,193.695,19.8216,96,1.52174,12345,26-Oct-2025_12-50
35,10.1.4.5,10.1.4.11,0,0,0,100,0,12345,26-Oct-2025_12-50
36,10.1.4.6,10.1.4.11,1.02193,3.99448,3.42273,99.25,0.172943,12345,26-Oct-2025_12-50
37,10.1.4.7,10.1.4.11,0,0,0,100,0,12345,26-Oct-2025_12-50
38,10.1.4.8,10.1.4.11,0.824483,33.5863,5.31728,79.3571,5.9,12345,26-Oct-2025_12-50
39,10.1.4.9,10.1.4.11,0,0,0,100,0,12345,26-Oct-2025_12-50
40,10.1.4.10,10.1.4.11,0,0,0,100,0,12345,26-Oct-2025_12-50
