RunID,TxPower_dBm,NodeCount,AreaHalf,Indoor,Interference,Seed,Run,Throughput_Mbps,Latency_ms,Jitter_ms,Loss_pct
1,10,10,50,1,1,12345,1,0,0,0,100
2,10,10,50,1,1,12345,2,0,0,0,100
3,10,10,50,1,1,12345,3,0,0,0,100
4,10,20,50,1,1,12345,1,0,0,0,100
5,10,20,50,1,1,12345,2,0,0,0,100
6,10,20,50,1,1,12345,3,0,0,0,100
7,10,30,50,1,1,12345,1,0,0,0,100
8,10,30,50,1,1,12345,2,0,0,0,100
9,10,30,50,1,1,12345,3,0,0,0,100
10,10,40,50,1,1,12345,1,0,0,0,100
11,10,40,50,1,1,12345,2,0,0,0,100
12,10,40,50,1,1,12345,3,0,0,0,100
13,14,10,50,1,1,12345,1,0.00397701,0.322466,0.318284,99.5571
14,14,10,50,1,1,12345,2,0,0,0,100
15,14,10,50,1,1,12345,3,0,0,0,100
16,14,20,50,1,1,12345,1,0.00420592,0.114208,0.134653,99.5232
17,14,20,50,1,1,12345,2,0,0,0,100
18,14,20,50,1,1,12345,3,0,0,0,100
19,14,30,50,1,1,12345,1,0.00123725,1.21961,0.260951,99.8512
20,14,30,50,1,1,12345,2,0,0,0,100
21,14,30,50,1,1,12345,3,0,0,0,100
22,14,40,50,1,1,12345,1,0,0,0,100
23,14,40,50,1,1,12345,2,0,0,0,100
24,14,40,50,1,1,12345,3,0,0,0,100
25,18,10,50,1,1,12345,1,0.0196051,1.23173,0.471933,99.475
26,18,10,50,1,1,12345,2,0,0,0,100
27,18,10,50,1,1,12345,3,0,0,0,100
28,18,20,50,1,1,12345,1,0,0,0,100
29,18,20,50,1,1,12345,2,0,0,0,100
30,18,20,50,1,1,12345,3,0,0,0,100
31,18,30,50,1,1,12345,1,0,0,0,100
32,18,30,50,1,1,12345,2,0,0,0,100
33,18,30,50,1,1,12345,3,0,0,0,100
34,18,40,50,1,1,12345,1,0,0,0,100
35,18,40,50,1,1,12345,2,0,0,0,100
36,18,40,50,1,1,12345,3,0,0,0,100
37,22,10,50,1,1,12345,1,0,0,0,100
38,22,10,50,1,1,12345,2,0,0,0,100
39,22,10,50,1,1,12345,3,0,0,0,100
40,22,20,50,1,1,12345,1,0,0,0,100
41,22,20,50,1,1,12345,2,0,0,0,100
42,22,20,50,1,1,12345,3,0,0,0,100
43,22,30,50,1,1,12345,1,0,0,0,100
44,22,30,50,1,1,12345,2,0.00371335,0.130166,0.142157,99.9012
45,22,30,50,1,1,12345,3,0,0,0,100
46,22,40,50,1,1,12345,1,0,0,0,100
47,22,40,50,1,1,12345,2,0,0,0,100
48,22,40,50,1,1,12345,3,0,0,0,100
