time_s,channel_MHz,signal_dBm,noise_dBm
0.011808,5210,-74.538293,-93.965985
0.120172,5210,-76.633639,-93.965985
0.120232,5210,-78.117841,-93.965985
0.120811,5210,-81.480596,-93.965985
0.120871,5210,-77.092138,-93.965985
0.216608,5210,-77.025410,-93.965985
26.943008,5210,-81.142731,-93.965985
27.000171,5210,-79.088159,-93.965985
27.000231,5210,-74.395279,-93.965985
27.000299,5210,-76.873112,-93.965985
27.000869,5210,-77.173469,-93.965985
27.000929,5210,-77.195074,-93.965985
27.014397,5210,-77.763892,-93.965985
27.014457,5210,-75.103398,-93.965985
27.014576,5210,-81.012846,-93.965985
27.014636,5210,-79.634257,-93.965985
27.014741,5210,-78.336481,-87.945385
27.014789,5210,-78.635092,-87.945385
27.014980,5210,-80.096028,-93.965985
27.015317,5210,-76.183211,-93.965985
27.015496,5210,-80.053958,-93.965985
27.015696,5210,-77.737451,-93.965985
27.015756,5210,-79.142921,-93.965985
27.016271,5210,-77.307490,-93.965985
27.016749,5210,-81.312523,-93.965985
27.016809,5210,-76.438773,-93.965985
27.016964,5210,-74.058140,-93.965985
27.017344,5210,-78.085054,-93.965985
27.017404,5210,-81.279409,-93.965985
27.017563,5210,-79.808262,-87.945385
27.017611,5210,-79.878804,-87.945385
27.017847,5210,-77.472455,-93.965985
27.017907,5210,-79.798569,-93.965985
27.018460,5210,-77.080040,-87.945385
27.023289,5210,-77.570340,-87.945385
27.023337,5210,-79.107720,-87.945385
27.024007,5210,-77.703148,-87.945385
27.026920,5210,-78.619124,-87.945385
27.034210,5210,-76.232808,-87.945385
27.034258,5210,-77.593030,-87.945385
27.036201,5210,-74.607035,-87.945385
27.036245,5210,-77.405922,-87.945385
27.040913,5210,-75.135565,-87.945385
27.044024,5210,-78.978282,-87.945385
27.045408,5210,-74.089389,-93.965985
27.048229,5210,-76.690239,-87.945385
27.048273,5210,-80.159091,-87.945385
27.050401,5210,-74.800960,-87.945385
27.050445,5210,-76.381752,-87.945385
27.061260,5210,-78.111256,-87.945385
27.061304,5210,-79.774412,-87.945385
27.070141,5210,-77.912553,-87.945385
27.070189,5210,-79.641016,-87.945385
27.081480,5210,-78.219993,-87.945385
27.083917,5210,-80.562421,-87.945385
27.083965,5210,-77.032553,-87.945385
27.090138,5210,-79.666478,-87.945385
27.091027,5210,-79.116950,-87.945385
27.091075,5210,-81.325931,-87.945385
27.101143,5210,-77.803112,-87.945385
27.101191,5210,-76.143857,-87.945385
